year,period,damages,DF,r
2015,0,0.43,1,4.06
2020,1,1,0.819623704,3.24
2025,2,2.14,0.698720663,2.8
2030,3,4.02,0.60871783,2.7
2035,4,8.53,0.532861106,2.62
2040,5,12.55,0.468135429,2.56
2045,6,16.32,0.412471458,2.51
2050,7,19.98,0.364378387,2.46
2055,8,23.55,0.322656545,2.42
2060,9,27.03,0.286343458,2.37
2065,10,30.22,0.254652311,2.33
2070,11,32.77,0.226897831,2.3
2075,12,33.89,0.202501791,2.27
2080,13,31.97,0.180963232,2.26
2085,14,24.07,0.161840521,2.24
2090,15,19.76,0.144876084,2.21
2095,16,17.75,0.129904461,2.16
2100,17,17.12,0.116714258,2.12
2105,18,17.29,0.105096444,2.07
2110,19,17.94,0.094847791,2.03
2115,20,18.81,0.085787693,1.98
2120,21,19.8,0.077759823,1.94
2125,22,20.79,0.070629932,1.9
2130,23,21.75,0.064282937,1.86
2135,24,22.67,0.058620113,1.82
2140,25,23.48,0.053556625,1.79
2145,26,24.21,0.049019405,1.75
2150,27,24.83,0.044945378,1.72
2155,28,25.36,0.041279958,1.68
2160,29,25.77,0.037975791,1.65
2165,30,26.08,0.034991693,1.62
2170,31,26.29,0.032291771,1.59
2175,32,26.39,0.029844667,1.56
2180,33,26.37,0.027622921,1.53
2185,34,26.26,0.025602443,1.5
2190,35,26.03,0.023762044,1.48
2195,36,25.69,0.022083062,1.45
2200,37,25.23,0.020549017,1.43
2205,38,24.64,0.019145332,1.4
2210,39,23.94,0.017859089,1.38
2215,40,23.12,0.016678818,1.35
2220,41,22.16,0.015594317,1.33
2225,42,21.11,0.014596494,1.31
2230,43,19.98,0.013677236,1.29
2235,44,18.8,0.012829285,1.27
2240,45,17.66,0.012046139,1.25
2245,46,16.71,0.011321965,1.23
2250,47,16.23,0.010651511,1.21
2255,48,16.72,0.010030037,1.19
2260,49,19.15,0.009453251,1.17
2265,50,17.22,0.008917475,1.16
2270,51,13.98,0.008419374,1.14
2275,52,10.81,0.007955818,1.12
2280,53,8.16,0.007523943,1.11
2285,54,6.11,0.007121155,1.09
2290,55,4.58,0.006745106,1.08
2295,56,3.44,0.006393675,1.06
2300,57,2.6,0.006064936,1.05
2305,58,2,0.005757142,1.03
2310,59,1.559999999,0.005468703,1.02
2315,60,1.23,0.005198169,1.01
2320,61,0.99,0.004944215,0.99
2325,62,0.82,0.004705631,0.98
2330,63,0.7,0.004481309,0.97
2335,64,0.6,0.004270231,0.96
2340,65,0.53,0.004071466,0.95
2345,66,0.48,0.003884155,0.94
2350,67,0.43,0.003707511,0.92
2355,68,0.39,0.003540808,0.91
2360,69,0.37,0.003383377,0.9
2365,70,0.35,0.003234601,0.89
2370,71,0.33,0.00309391,0.88
2375,72,0.31,0.002960778,0.87
2380,73,0.3,0.002834718,0.86
2385,74,0.289999999,0.00271528,0.86
2390,75,0.279999999,0.002602046,0.85
2395,76,0.27,0.00249463,0.84
2400,77,0.26,0.002392672,0.83
2405,78,0.250000001,0.002295838,0.82
2410,79,0.239999999,0.002203819,0.81
2415,80,0.209999999,0.002116326,0.81
2420,81,0.219999999,0.00203309,0.8
2425,82,0.220000001,0.00195386,0.79
2430,83,0.240000001,0.001878401,0.78
2435,84,0.26,0.00180649,0.78
2440,85,0.27,0.001737916,0.77
2445,86,0.3,0.001672478,0.76
2450,87,0.36,0.001609974,0.76
2455,88,0.43,0.001550199,0.76
2460,89,0.45,0.001492929,0.75
2465,90,0.39,0.001437902,0.76
2470,91,0.220000001,0.001384785,0.76
2475,92,0.07,0.001333109,0.78
2480,93,0.03,0.001282176,0.82
2485,94,0.03,0.001230873,0.89
2490,95,0.05,0.001177364,1.03
2495,96,0.090000001,0.001118493,1.3
2500,97,0.14,0.001048599,1.85
2505,98,0.19,0.000956788,2.69
2510,99,0.08,0.000837978,-2.5
